company_name_1,company_name_2,person_name,position
廣州汽車,广州汽车工业集团有限公司,"万向集团公司,中国机械工业集团有限公司,广州钢铁企业集团有限公司,广州市长隆酒店有限公司,曾庆洪,宋铁波,王克勤,肖胜方,赵福全(ZHAO FUQUAN),陈军,陈茂善,陈小沐,丁宏祥,韩颖,吴坚,苏家义","董事长,独立董事,独立董事,独立董事,独立董事,董事,董事,董事,董事,董事"
華夏銀行,湖北长江电影集团有限责任公司,"湖北银兴院线影业有限责任公司,杨琪,汪遵,雷波","执行董事,监事,其他人员"
中國鐵塔,中国移动通信有限公司,"中国电信股份有限公司,中国联合网络通信有限公司,张志勇,顾晓敏,邓实际,樊澄,高同庆,买彦州,佟吉禄,谢湧海,李文民,高玲玲,吴东,王国洲,蔡明友,林建,曹道社,张军,段剑锋,武靖恺,顾国政","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,监事会主席,监事"
永輝超市,张轩松,"张轩宁,江苏京东邦能投资管理有限公司,江苏圆周电子商务有限公司,张轩松,李国,张轩宁,方青,廖建文（LIAO JIANWEN）,麦殷（MCLEOD，Ian James Winward）,孙宝文,许萍,陈颖,张光义,翁海娟,林小斌,陈林武,吴丽杰,陈林武,邱善玲,邱善玲,陈林武,林登秀","董事长,总经理,董事,副董事长,董事,董事,董事,董事,董事,董事,监事"
新疆中泰化學,新疆中泰化学股份有限公司,"国开发展基金有限公司,宫正,王利国,胡晓东","总经理,执行董事,监事"
深圳市怡亞通供應鏈,刘少平,"谢芳,邵健瑜,黄征凯,张维平,张利,韩莉,姚玉杰,陈凯,邵健瑜",
新希望六和,新希望控股集团有限公司,"刘永好,刘畅,李巍,刘永好,刘畅,王航,李巍,李建雄","董事长兼总经理,董事,董事,监事"
中國蒙牛乳業,中國蒙牛乳業,None,None
海南航空控股,刘璐,"徐军,陈明,林泽明,刘吉春,伍晓熹,徐经长,张英,张志刚,曹京斐,李响,陈明,鲁静峰,鲁静峰,熊将智,陈仁峰,李泉,李建生,方志东,杜立明","董事长,董事兼总经理,副董事长,董事,董事,董事,董事,董事,董事,监事"
內蒙古包鋼鋼聯,刘振刚,"李晓,白宝生,程名望,董方,李雪峰,齐宏涛,宋龙堂,孙浩,王臣,赵德贵,张鹏,刘占全,石正国,陈汝海,王茳,杨锁忠,黄宏,郝志燕,刘见强","董事长,董事,总经理,董事,董事,董事,董事,董事,董事,董事,董事"
網易公司,朱叶庆,"黄瑞芳,马兰,佟勇,黄瑞芳,马兰,佟勇","首席代表,一般代表,一般代表,一般代表,代表,代表,代表"
重慶長安汽車,重慶長安汽車,None,None
遠大產業控股,连云港市蔬菜冷藏加工厂,"连云港市农业开发公司,连云港兴农农业有限公司,金波,蒋华富,史迎春,白新华,吴价宝,谢会生,许祥舜,于滟,张勉,张双根","董事长,副董事长,副董事长,董事,董事,董事,董事,董事,董事,董事"
北京首鋼,首钢集团有限公司,"赵民革,梁捷,金洪利,张福杰,朱启建,邹立宾,张清暖","董事长,副董事长,经理,董事,董事,董事,董事,董事,监事会主席,监事,监事"
國電電力發展,刘国跃,"高嵩,冯树臣,高德步,刘焱,李秀华,栾宝兴,吕跃刚,吕志韧,肖创英,郭万宇,孙劲飚,董卫东,翁文骁,赵传山,王闳田,白洪亮,白洪亮,伍权,刘毅","董事长,总经理,董事,董事,董事,董事,董事,董事,董事,董事"
美團點評,美團點評,None,None
華潤電力控股,付文靖,,首席代表
廈門信達,廈門信達,None,None
國美零售控股,國美零售控股,None,None
浙商中拓,浙商中拓集团股份有限公司,"汪伟锋,朱文,孙彦红","执行董事,监事,经理"
白銀有色,中信国安集团有限公司,"瑞源(上海)股权投资基金合伙企业(有限合伙),甘肃省新业资产经营有限责任公司,中国信达资产管理股份有限公司,中国中信集团有限公司,全国社会保障基金理事会,中国东方资产管理公司,中国华融资产管理股份有限公司,王普公,王彬,夏桂兰,柏薇,陈景善,崔少华,杜军,马晓平,王萌,王樯忠,杨海峰,朱双潮,张得秀,陈贤瑜,王爱勤,王栋,赵速,周岩,黄旭东","董事长,董事兼总经理,副董事长,董事,董事,董事,董事,董事,董事,董事"
中國重汽,蔡东,"刘正涛,郭磊,李霞,万春玲,贾胜欣,季建国,赵月,李建祖,刘晓东,石小锐","董事长,董事兼总经理,董事,董事,董事,监事长,职工监事,监事"
新奧能源控股,新奧能源控股,None,None
萬華化學,万华化学集团股份有限公司,"福建石油化工集团有限责任公司,寇光武,陈华泽,************峰,华卫琦,聂存良,陈斌,卿宇,王军凯,周永金,朱健","董事长,董事,董事,董事,经理,董事,监事,监事,监事,监事,监事"
綠城中國控股,綠城中國控股,None,None
恆力石化,恒力石化股份有限公司,"倪海华,徐寅飞,陈新华","执行董事,监事,经理"
中化國際,杨华,"刘红生,程晓曦,徐经长,徐永前,杨林,俞大海（YU DAHAI）,张宝红,周民,庄严,瞿建波,戴峻,杨乐,王景华,霍建勋,封黎明,官绍华,王文兴,滕波","董事长,总经理,董事,董事,董事,董事,董事,董事,监事,监事,监事"
中國石油,国务院国有资产监督管理委员会,"戴厚良,章建华,黄龙,刘国胜,李毓华,王久玲,汪世宏,章建华,杜渊泉,仇凯","董事长,总经理,董事,董事,董事,董事,董事,董事,监事会主席,监事"
中石化石油工程技術服務,陈锡坤,"袁建强,陈卫东,董秀成,姜波,潘颖,樊中海,路保平,魏然,马祥","董事长,总经理,董事,独立董事,独立董事,独立董事,独立董事,董事,董事,董事,监事会主席"
玖龍紙業,玖龙环球(中国)投资集团有限公司,"张茵,王居才,刘晋嵩,刘名中,张成飞,陈莉","董事长,总经理,董事,董事,董事,监事"
溫氏食品,广东温氏食品集团股份有限公司工会委员会,"温鹏程,严居然,梁焕珍,温均生,温小琼,温志芬,黎沃灿,严居能,黄伯昌,温志芬,严居然,曹仰锋,陈舒,万良勇,印遇龙,黄松德,黎少松,温均生,温鹏程,吴珍芳,吴珍芳,叶水凤,梁志勇","职工监事,董事长,副董事长,独立董事,独立董事,独立董事,独立董事,董事,董事,董事,董事"
陝西煤業,陕西省人民政府国有资产监督管理委员会,"杨照乾,严广劳,安继栓,高仰才,秦岭,宋老虎,王双明,王引尚,王忠义,姚富强","董事长,董事兼总经理,副董事长,董事,董事,董事,董事,董事,董事"
